Department,Failure Rate,Number of Users,Campaign Count,Campaign Failures,Drive By Campaign Failure Rate,Data Entry Campaign Failure Rate,Attachment Campaign Failure Rate
Liq Auto & Process,3.80%,26,10,7,2.60%,0.00%,15.40%
MM Warehouse CA NB,3.80%,3,10,1,5.90%,0.00%,0.00%
Welding Mat NDE&C-CA,3.80%,11,10,3,2.10%,5.00%,10.00%
Eng Standards Gov,3.80%,13,10,4,3.00%,3.80%,7.70%
IS Cyber Sec & Ops,3.80%,29,10,6,5.80%,0.00%,0.00%
Learn & Devt CA,3.80%,12,10,3,2.00%,5.00%,10.00%
Project Governanc CA,3.70%,14,10,4,1.50%,7.70%,7.10%
USTS Integr Eng Serv,3.70%,20,10,6,4.00%,2.50%,5.00%
BL Ops-GLGT People,3.70%,7,10,2,5.90%,0.00%,0.00%
CGOEAS Hearst,3.70%,20,10,6,2.90%,2.60%,10.00%
Liq Ops Excellence,3.70%,11,10,3,3.90%,0.00%,10.00%
USNG Land Admin,3.70%,7,10,2,3.00%,0.00%,14.30%
CGORMR RAR,3.70%,15,10,4,3.00%,0.00%,13.30%
Gas Projects Sched,3.70%,11,10,3,2.00%,0.00%,18.20%
CA Pipe Reg Facility,3.60%,7,10,2,2.90%,7.10%,0.00%
Liq Ops Plan & Integ,3.60%,7,10,2,5.90%,0.00%,0.00%
CGOWR Wood Buffalo,3.60%,23,10,6,2.90%,0.00%,13.60%
Flint Hills-ANRP,3.60%,25,10,7,1.70%,4.00%,12.00%
CGO Wildrose GP,3.60%,20,10,5,4.50%,0.00%,5.30%
CGOCR Agassiz,3.50%,16,10,4,5.90%,0.00%,0.00%
BUIT SCADA EAST,3.50%,11,10,3,3.70%,5.00%,0.00%
Liquids Projects CA,3.50%,38,10,10,2.80%,1.50%,10.50%
Corp Aviation-Cgy,3.50%,7,10,2,2.80%,7.10%,0.00%
Energy Acctg West,3.50%,8,10,2,2.90%,0.00%,12.50%
EOA2: Bus Ops,3.50%,32,10,8,3.50%,3.80%,3.10%
SC eComm Tech MDM,3.50%,8,10,2,0.00%,0.00%,25.00%
SCS AP CA,3.50%,16,10,4,2.80%,3.80%,6.30%
Liq PQM,3.50%,11,10,3,1.90%,0.00%,18.20%
PI Constructn Mgmt,3.50%,153,10,36,2.30%,3.00%,9.40%
BUIT USNG EAST,3.40%,23,10,6,0.00%,2.30%,21.70%
Corrosion Serv USGO,3.40%,18,10,5,3.30%,2.80%,5.60%
CYBER SEC OFFICE CA,3.40%,7,7,1,5.30%,0.00%,0.00%
Grad Rotation,3.40%,8,10,2,2.90%,6.30%,0.00%
Supply Chain KXL CAD,3.40%,11,10,3,3.70%,0.00%,9.10%
CGOWR Aurora Central,3.40%,20,10,5,3.30%,0.00%,10.50%
Ind Ctrl & Elct Eng,3.40%,30,10,7,3.80%,2.20%,3.40%
IS SAP Delivery,3.40%,13,10,3,0.00%,0.00%,25.00%
PI Threat Mgmt CA,3.40%,28,10,7,2.40%,0.00%,15.40%
USTS Mntce Prog&Plan,3.40%,51,10,14,3.10%,1.00%,9.80%
CA Pipes Cust Norm,3.40%,27,10,7,2.30%,0.00%,15.40%
Eastern Development,3.40%,12,10,3,1.80%,0.00%,16.70%
Liquids SE FieldProj,3.40%,17,10,4,1.40%,0.00%,17.60%
Facilities Ser Clgry,3.30%,65,10,16,2.60%,0.90%,11.30%
CGL PL Implement W,3.30%,8,9,2,2.80%,6.30%,0.00%
CR&State Affairs US,3.30%,4,9,1,5.60%,0.00%,0.00%
IT NTW &TELCOM PJ US,3.30%,4,9,1,5.30%,0.00%,0.00%
PI Data Qual&StratCA,3.30%,17,10,4,1.40%,6.70%,5.90%
PI Tech Managment,3.30%,4,8,1,0.00%,0.00%,25.00%
SCCM Mat & Equip,3.30%,12,10,3,3.70%,0.00%,8.30%
CGL PL Implement E,3.30%,20,10,5,2.10%,0.00%,15.00%
Internal Audit CA,3.30%,15,10,4,1.30%,0.00%,20.00%
Comm West-Supply,3.30%,8,10,2,2.60%,7.10%,0.00%
Corp Comm & Mktg,3.30%,17,10,4,3.90%,0.00%,5.90%
E&L ES Field - East,3.30%,8,10,2,2.70%,6.30%,0.00%
HR Compensation,3.30%,9,10,2,4.90%,0.00%,0.00%
Liquids Com & CA Reg,3.30%,8,10,2,2.60%,0.00%,12.50%
USNG Acctg Central,3.30%,8,10,2,0.00%,0.00%,25.00%
AMS CA Gas Pipe Sys,3.20%,15,10,4,1.30%,0.00%,20.00%
CGO PI PM PR/NONT,3.20%,8,9,2,0.00%,0.00%,25.00%
Corp Finance&Pension,3.20%,4,8,1,0.00%,0.00%,25.00%
Gas Proj MX Houston,3.20%,4,10,1,0.00%,12.50%,0.00%
IMG Work Center,3.20%,8,9,2,0.00%,0.00%,25.00%
IS Corp Support Serv,3.20%,5,10,1,0.00%,0.00%,20.00%
NEOA3: Bus Ops,3.20%,28,10,7,2.20%,3.70%,7.10%
Op Cost Acctg,3.20%,9,10,2,0.00%,6.30%,12.50%
USNG Controller,3.20%,5,10,1,0.00%,0.00%,20.00%
CEL Celestine Area,3.20%,29,10,7,2.20%,0.00%,14.30%
MX NG Bus Devel,3.20%,9,9,2,0.00%,0.00%,22.20%
CAEO Western Eng,3.20%,13,10,3,0.00%,8.30%,7.70%
Liq Mech Civil & Rel,3.10%,13,10,3,0.00%,0.00%,23.10%
SCP US Gas Strategy,3.10%,4,9,1,0.00%,0.00%,25.00%
CGO ILI Projects,3.10%,17,10,4,2.50%,3.10%,5.90%
CGOEAS Quebec,3.10%,13,10,3,3.30%,0.00%,7.70%
EOA3: Bus Ops,3.10%,26,10,6,1.70%,4.00%,7.70%
SCCO CGO & PI CA,3.10%,12,10,3,1.60%,9.10%,0.00%
AB Energy OP FO,3.10%,8,10,2,0.00%,0.00%,25.00%
USTS Auto Control W,3.10%,25,10,6,1.60%,6.30%,4.00%
ELIR IR ENTERPRISE,3.00%,5,9,1,5.00%,0.00%,0.00%
Property Taxation,3.00%,4,10,1,4.80%,0.00%,0.00%
Risk -  CA & MX Gas,3.00%,9,10,2,0.00%,5.60%,12.50%
Sardis Area,3.00%,26,10,6,2.50%,2.00%,7.70%
SCCM Corp & Consult,3.00%,13,10,3,3.10%,0.00%,7.70%
CGOEAS RAR,3.00%,18,10,4,2.30%,0.00%,11.10%
CGORMR Big Sky,3.00%,22,10,5,1.00%,4.50%,9.10%
CA Pipe Rates West,2.90%,6,10,1,0.00%,0.00%,16.70%
US Aerial Patrol,2.90%,21,10,5,3.70%,0.00%,4.80%
USTS Integ Progr Ser,2.90%,14,10,3,1.60%,4.20%,7.10%
IS BUIT Proj Del Com,2.90%,15,10,3,3.10%,4.20%,0.00%
Ctrparty Risk Mgmt,2.90%,9,10,2,4.50%,0.00%,0.00%
Reg Compliance CA,2.90%,9,10,2,4.80%,0.00%,0.00%
ELIR CA Land Admin,2.90%,14,10,3,1.60%,0.00%,14.30%
Corporate Accounting,2.90%,9,10,2,0.00%,0.00%,22.20%
Liquids Marketing,2.90%,9,10,2,0.00%,5.60%,11.10%
SCE Global Cont Mgmt,2.90%,7,8,1,4.50%,0.00%,0.00%
USNG Gas Control W,2.80%,62,10,14,1.90%,0.80%,11.30%
BUIT SCADA WEST,2.80%,9,10,2,0.00%,0.00%,22.20%
CA Pipe Law CA,2.80%,14,10,3,3.00%,0.00%,7.10%
SEOA1: Bus Ops,2.80%,23,10,5,3.60%,0.00%,4.30%
Liq Major Proj BD CA,2.80%,5,10,1,4.30%,0.00%,0.00%
SCE Strat&Func Excel,2.80%,5,9,1,4.30%,0.00%,0.00%
DTO AUT INV  DVRY CA,2.70%,20,10,4,0.00%,2.80%,15.80%
East Region Mgmt Ops,2.70%,14,10,3,1.40%,3.80%,7.10%
CLFO Cypress Ppl,2.70%,24,10,5,2.60%,2.10%,4.30%
Executive Leadership,2.70%,9,10,2,0.00%,5.60%,11.10%
USTS ROW Maintenance,2.70%,9,10,2,2.10%,5.60%,0.00%
CGO Eastern Pipelin,2.70%,23,10,5,2.60%,0.00%,8.70%
Comm East-Calgary,2.60%,5,10,1,4.30%,0.00%,0.00%
CPO Business Opti,2.60%,10,10,2,0.00%,0.00%,20.00%
NGTL 2021 Dev Proj,2.60%,11,10,2,4.20%,0.00%,0.00%
USNG In-Line Inspect,2.60%,5,10,1,4.30%,0.00%,0.00%
Gas Proj Compression,2.60%,32,10,6,2.20%,0.00%,9.70%
Safety Emerge MgmtUS,2.60%,5,10,1,4.20%,0.00%,0.00%
CGOEAS MNIAG,2.50%,17,10,3,2.70%,3.60%,0.00%
CGO Tech Support Ops,2.50%,23,10,4,3.10%,0.00%,4.30%
CPO CentralCorrosion,2.50%,61,10,11,1.80%,2.80%,5.00%
Energy Comm Op East,2.50%,5,10,1,0.00%,11.10%,0.00%
Exec Admin-ShareServ,2.50%,5,10,1,0.00%,10.00%,0.00%
NGTL 2022 Dev Proj,2.50%,5,10,1,0.00%,10.00%,0.00%
IS EITS,2.50%,73,10,11,1.80%,1.00%,7.60%
USTS Auto/Contrl E,2.50%,21,10,4,1.00%,4.80%,4.80%
HR Compliance & Prog,2.40%,5,9,1,3.80%,0.00%,0.00%
Pipe Int Data Eng CA,2.40%,5,10,1,3.80%,0.00%,0.00%
USTS Tech Facilitat,2.40%,10,10,2,1.90%,5.00%,0.00%
USTS Integri TM East,2.40%,10,10,2,1.90%,5.00%,0.00%
ISBO NTWK PRJ DEL CA,2.40%,7,8,1,0.00%,0.00%,14.30%
Liquids US Ops & Reg,2.40%,5,10,1,3.70%,0.00%,0.00%
Strat & Port Mngmt,2.40%,11,10,2,3.70%,0.00%,0.00%
Liq System Control,2.30%,38,10,7,1.10%,1.30%,10.50%
USNG Env Law,2.30%,6,10,1,3.60%,0.00%,0.00%
EO Halton Hills,2.30%,46,10,7,1.00%,3.20%,6.50%
CGO ConstructionEast,2.30%,30,10,5,0.70%,3.80%,6.70%
Becancour,2.30%,8,10,1,0.00%,0.00%,12.50%
IT Infra  Ops Center,2.30%,13,10,2,0.00%,0.00%,16.70%
Safety Corp Secur US,2.30%,6,9,1,0.00%,0.00%,16.70%
CA Pipes Comm OpPlan,2.20%,22,10,4,1.80%,2.30%,4.50%
Financial Reporting,2.20%,13,10,2,0.00%,0.00%,15.40%
GIS Services CA,2.20%,12,10,2,0.00%,4.50%,8.30%
None,2.20%,74,10,9,1.60%,4.20%,2.70%
Liq Comm Accounts,2.20%,6,9,1,3.40%,0.00%,0.00%
Tech Info Mgmt CA,2.20%,18,10,3,1.20%,2.90%,5.60%
USNG Exec Admin,2.20%,13,10,2,0.00%,5.30%,7.70%
CGO Rocky Mtn Region,2.20%,6,10,1,3.60%,0.00%,0.00%
Investor Relations,2.20%,6,10,1,3.60%,0.00%,0.00%
Liquids BD CAD,2.20%,6,10,1,0.00%,0.00%,16.70%
Contract Risk,2.10%,6,10,1,3.40%,0.00%,0.00%
PI Proj Mgmt SON &QC,2.10%,12,10,2,3.40%,0.00%,0.00%
USNG US Remediation,2.10%,6,10,1,3.40%,0.00%,0.00%
Land - US Gas - Proj,2.10%,54,10,8,0.90%,3.90%,3.70%
USNG Enviro P&P–West,2.10%,6,10,1,0.00%,0.00%,16.70%
CGOCR Heartland,2.10%,20,10,3,0.00%,2.80%,11.10%
US Commodity Tax,2.00%,6,10,1,0.00%,0.00%,16.70%
USNG Accounting East,2.00%,6,10,1,3.20%,0.00%,0.00%
USTS Compress West,2.00%,19,10,3,1.10%,2.80%,5.30%
Inter Affi & Trainin,2.00%,8,10,1,0.00%,0.00%,14.30%
Pennant Processing,2.00%,13,10,2,0.00%,3.80%,7.70%
CA Pipe Rates East,2.00%,6,10,1,3.00%,0.00%,0.00%
HR Talent Acq US,2.00%,7,8,1,0.00%,0.00%,14.30%
Liq Cost & Cap Acctg,2.00%,7,10,1,3.10%,0.00%,0.00%
IS BUIT Proj Del CA,1.90%,31,10,4,2.30%,2.10%,0.00%
PI ThreatMgmt-US GAS,1.90%,15,8,2,1.60%,0.00%,6.70%
CGOWR Mountainview,1.90%,22,10,3,0.00%,2.40%,9.10%
Comm West-Markets,1.90%,7,8,1,3.10%,0.00%,0.00%
Liq Cross Border US,1.90%,7,8,1,0.00%,7.10%,0.00%
NSIT CORE NET SRV CA,1.80%,60,10,7,0.90%,2.30%,5.00%
Edson Gas Storage,1.80%,7,10,1,0.00%,0.00%,14.30%
HR Talent Programs,1.80%,8,10,1,0.00%,0.00%,12.50%
Energy Law CA,1.80%,7,10,1,0.00%,7.10%,0.00%
Gas Proj Governance,1.80%,7,10,1,2.90%,0.00%,0.00%
Intl Finance Centres,1.80%,7,10,1,2.90%,0.00%,0.00%
RTS & Apps Central,1.70%,7,10,1,0.00%,0.00%,14.30%
Mechanical Equipment,1.70%,16,8,2,0.00%,0.00%,12.50%
SCCO Corp Serv,1.70%,9,10,1,0.00%,0.00%,12.50%
Portfolio Ops & Mrkt,1.70%,18,10,2,0.00%,3.30%,6.30%
Risk - LIQ & US Gas,1.70%,8,9,1,0.00%,0.00%,12.50%
SCADA IT SERVICES US,1.70%,9,9,1,0.00%,0.00%,12.50%
CGOCR NWOntario,1.60%,16,10,2,1.30%,0.00%,6.30%
USLFO GL Ppl,1.60%,18,10,2,2.60%,0.00%,0.00%
COE Management,1.60%,8,10,1,2.50%,0.00%,0.00%
HR MX,1.60%,9,10,1,0.00%,0.00%,11.10%
IS BUSINESS OFFICE,1.60%,9,10,1,2.60%,0.00%,0.00%
Op Mgmt System,1.60%,9,10,1,2.50%,0.00%,0.00%
Pension Asset Mgmt,1.60%,8,10,1,0.00%,0.00%,12.50%
CGL Stakeholder Rel,1.60%,22,10,2,0.00%,0.00%,10.00%
Corp Evaluations,1.50%,9,10,1,2.60%,0.00%,0.00%
Gas Storage Op-Unreg,1.50%,8,10,1,0.00%,0.00%,12.50%
NSIT FIELD&TELCO US,1.50%,33,10,4,1.80%,0.00%,3.00%
DTO CLOUD OPS INF CA,1.50%,17,10,2,1.20%,0.00%,5.90%
MGO Operations Serv,1.50%,8,10,1,0.00%,0.00%,12.50%
CGOEAS Rideau,1.40%,18,10,2,1.10%,3.10%,0.00%
USNG Rates&Tariffs,1.40%,19,10,2,0.00%,3.10%,5.30%
USTS Meas Engin East,1.40%,17,10,2,0.00%,2.90%,5.90%
Acctg Bus Support,1.40%,9,10,1,0.00%,0.00%,11.10%
Internal Comm,1.40%,10,10,1,0.00%,0.00%,10.00%
CA InternalAudit&SOX,1.40%,12,10,1,0.00%,7.70%,0.00%
HR Pension&Benefits,1.40%,9,10,1,0.00%,0.00%,11.10%
SC Proc Learning Gov,1.40%,13,9,1,2.10%,0.00%,0.00%
Taxation,1.40%,11,9,1,2.10%,0.00%,0.00%
DIGITAL TRANS OFF,1.30%,35,10,3,1.40%,2.10%,0.00%
ITOI EndUser Serv US,1.30%,10,10,1,2.10%,0.00%,0.00%
Liq Rate Cont Analys,1.30%,10,10,1,0.00%,0.00%,11.10%
IS App & Report CA,1.20%,10,10,1,1.90%,0.00%,0.00%
Market Serv & Compl,1.20%,22,10,2,1.00%,0.00%,4.50%
Safety Program Gov,1.20%,11,10,1,0.00%,0.00%,10.00%
EOA5: Bus Ops,1.20%,11,10,1,1.90%,0.00%,0.00%
Prj Service Est CA,1.20%,11,10,1,1.90%,0.00%,0.00%
CGOWR Mackenzie,1.20%,24,10,2,0.90%,0.00%,4.50%
Liq Pipe Integrity,1.10%,12,10,1,0.00%,0.00%,8.30%
SCCM Lifecycle Mgmt,1.10%,13,10,1,1.80%,0.00%,0.00%
CGORMR - West Cntry,1.10%,26,10,2,0.00%,2.20%,4.20%
US SC Ops Procuremnt,1.10%,13,10,1,0.00%,0.00%,7.70%
RTS & SCADA Eng,1.00%,73,10,5,0.70%,1.90%,1.40%
CGO  Rocky Pipeline,1.00%,25,10,2,0.80%,0.00%,4.00%
HR Master Data Mgmt,1.00%,13,10,1,0.00%,0.00%,7.70%
CPO Gas Quality,1.00%,13,10,1,1.60%,0.00%,0.00%
Tech Info Mgmt US,1.00%,18,10,1,1.70%,0.00%,0.00%
ML Planning West,0.90%,14,10,1,1.50%,0.00%,0.00%
MGO EOMS Union,0.80%,22,10,1,0.00%,0.00%,4.50%
ISBO BUS GOV OFF,0.80%,55,10,3,0.40%,1.20%,1.90%
Law&Corp Secretarial,0.80%,17,10,1,0.00%,0.00%,6.30%
Business Planning,0.80%,17,10,1,0.00%,0.00%,6.30%
-,0.80%,612,0,32,0.50%,0.70%,2.00%
Measurement Projects,0.60%,20,10,1,0.00%,2.50%,0.00%
CGO Measuremt Eng CA,0.50%,27,10,1,0.00%,2.60%,0.00%
AMS Energy CA,0.00%,1,7,0,0.00%,0.00%,0.00%
AMS Liquids Pipe,0.00%,3,7,0,0.00%,0.00%,0.00%
Aviation - CPG,0.00%,1,8,0,0.00%,0.00%,0.00%
BUIT AMS USNG SHARED,0.00%,1,9,0,0.00%,0.00%,0.00%
BUIT CA & IS Stratgy,0.00%,1,8,0,0.00%,0.00%,0.00%
BUIT CA GAS PIPE SYS,0.00%,4,8,0,0.00%,0.00%,0.00%
BUIT USNG SHARED,0.00%,5,10,0,0.00%,0.00%,0.00%
CA Market Analysis,0.00%,7,10,0,0.00%,0.00%,0.00%
CA Pipe Comm East,0.00%,4,10,0,0.00%,0.00%,0.00%
CA Pipe Reg Affairs,0.00%,3,10,0,0.00%,0.00%,0.00%
CA Pipe Reg Project,0.00%,9,10,0,0.00%,0.00%,0.00%
CA Pipeline Acctg E,0.00%,8,10,0,0.00%,0.00%,0.00%
CA Pipeline Acctg W,0.00%,5,8,0,0.00%,0.00%,0.00%
CA Pipes Tolls,0.00%,6,10,0,0.00%,0.00%,0.00%
CAEO Cost Control,0.00%,5,8,0,0.00%,0.00%,0.00%
CDN Power Fields Op,0.00%,4,9,0,0.00%,0.00%,0.00%
CGL H&S & Environmnt,0.00%,3,10,0,0.00%,0.00%,0.00%
CGO Methane Emission,0.00%,2,8,0,0.00%,0.00%,0.00%
CGO Train Dev Cul&FE,0.00%,5,8,0,0.00%,0.00%,0.00%
CGO Wildrose Region,0.00%,6,8,0,0.00%,0.00%,0.00%
CLFO Enviro Serv Ppl,0.00%,1,9,0,0.00%,0.00%,0.00%
Comm&Const Exelle US,0.00%,5,10,0,0.00%,0.00%,0.00%
Communic CA Liquids,0.00%,2,10,0,0.00%,0.00%,0.00%
Const & Comm Exc Dir,0.00%,4,10,0,0.00%,0.00%,0.00%
Controller,0.00%,3,10,0,0.00%,0.00%,0.00%
Corp Aviation-Houstn,0.00%,2,7,0,0.00%,0.00%,0.00%
Corp Comp & IntAudit,0.00%,5,8,0,0.00%,0.00%,0.00%
Corp Development,0.00%,1,9,0,0.00%,0.00%,0.00%
Corp Plan & Eval,0.00%,8,10,0,0.00%,0.00%,0.00%
Corp Secretarial US,0.00%,5,9,0,0.00%,0.00%,0.00%
Corp&Gen Counsel,0.00%,1,8,0,0.00%,0.00%,0.00%
Corporate Finance,0.00%,2,9,0,0.00%,0.00%,0.00%
Cost Management,0.00%,2,7,0,0.00%,0.00%,0.00%
Counterparty Risk,0.00%,2,8,0,0.00%,0.00%,0.00%
Counterparty Rptng,0.00%,2,8,0,0.00%,0.00%,0.00%
CPO Management,0.00%,1,9,0,0.00%,0.00%,0.00%
CPO Tech Serv Mgmt,0.00%,2,9,0,0.00%,0.00%,0.00%
CYBER SEC OFFICE US,0.00%,2,8,0,0.00%,0.00%,0.00%
DTO AUT INV  DVRY US,0.00%,1,8,0,0.00%,0.00%,0.00%
DTO COLLA PROD SERV,0.00%,11,10,0,0.00%,0.00%,0.00%
DTO ENT DGTL PRC CA,0.00%,1,9,0,0.00%,0.00%,0.00%
DTO ENT DGTL PRC US,0.00%,3,8,0,0.00%,0.00%,0.00%
EAR Storage Res Eng,0.00%,2,9,0,0.00%,0.00%,0.00%
ECM VP,0.00%,3,9,0,0.00%,0.00%,0.00%
EITS CONS &MAIN SERV,0.00%,10,10,0,0.00%,0.00%,0.00%
ELIR LAND ENTERPRISE,0.00%,5,10,0,0.00%,0.00%,0.00%
ELIR LAND US LIQ OPS,0.00%,2,9,0,0.00%,0.00%,0.00%
Energy Comm Op West,0.00%,2,8,0,0.00%,0.00%,0.00%
Energy Dev Tech Serv,0.00%,2,9,0,0.00%,0.00%,0.00%
Energy Portfolio Opt,0.00%,7,4,0,0.00%,0.00%,0.00%
Energy S&A,0.00%,4,10,0,0.00%,0.00%,0.00%
Energy Strat & Dev,0.00%,6,10,0,0.00%,0.00%,0.00%
Eng Stds Director,0.00%,2,9,0,0.00%,0.00%,0.00%
Enrg Joint Ventures,0.00%,6,10,0,0.00%,0.00%,0.00%
Env - CA Remediation,0.00%,5,9,0,0.00%,0.00%,0.00%
Expat - O&E,0.00%,3,10,0,0.00%,0.00%,0.00%
Fed Gov Relations US,0.00%,4,9,0,0.00%,0.00%,0.00%
Financial Ser CA Gas,0.00%,5,8,0,0.00%,0.00%,0.00%
Gas Proj Dev CA,0.00%,1,7,0,0.00%,0.00%,0.00%
Gas Proj Implem CA,0.00%,3,10,0,0.00%,0.00%,0.00%
Gas Proj Management,0.00%,2,8,0,0.00%,0.00%,0.00%
Gas Proj MX Expat CA,0.00%,2,9,0,0.00%,0.00%,0.00%
Gas Proj Tech Plan,0.00%,13,10,0,0.00%,0.00%,0.00%
Hardy: Business Ops,0.00%,4,8,0,0.00%,0.00%,0.00%
HR Global Mobility,0.00%,3,9,0,0.00%,0.00%,0.00%
Insurance Risk,0.00%,7,10,0,0.00%,0.00%,0.00%
Internal Audit US,0.00%,5,8,0,0.00%,0.00%,0.00%
IS App & Report US,0.00%,1,9,0,0.00%,0.00%,0.00%
IS MANAGEMENT,0.00%,2,9,0,0.00%,0.00%,0.00%
IS PI & GIS Serv US,0.00%,1,8,0,0.00%,0.00%,0.00%
IS SP & Doc Services,0.00%,4,10,0,0.00%,0.00%,0.00%
ISBO NTWK PRJ DEL US,0.00%,4,5,0,0.00%,0.00%,0.00%
IT Infra Ops Ctr US,0.00%,3,9,0,0.00%,0.00%,0.00%
ITOI Cloud Servce CA,0.00%,2,8,0,0.00%,0.00%,0.00%
ITOI Core Net Srv CA,0.00%,2,10,0,0.00%,0.00%,0.00%
ITOI Core Net Srv US,0.00%,2,8,0,0.00%,0.00%,0.00%
ITOI Data Ops CA,0.00%,1,9,0,0.00%,0.00%,0.00%
ITOI Field&Telco CA,0.00%,1,9,0,0.00%,0.00%,0.00%
ITOI Field&Telco US,0.00%,2,7,0,0.00%,0.00%,0.00%
ITOI Ricoh US,0.00%,1,7,0,0.00%,0.00%,0.00%
Liq Cap Optimization,0.00%,13,10,0,0.00%,0.00%,0.00%
Liq SE Management,0.00%,1,8,0,0.00%,0.00%,0.00%
Liq SE PipeIntegrity,0.00%,1,7,0,0.00%,0.00%,0.00%
Liquids Commercial,0.00%,2,7,0,0.00%,0.00%,0.00%
Liquids DSS & LD US,0.00%,2,8,0,0.00%,0.00%,0.00%
Liquids Fncl Report,0.00%,7,10,0,0.00%,0.00%,0.00%
Liquids Markets&Sup,0.00%,6,10,0,0.00%,0.00%,0.00%
Liquids System Opers,0.00%,3,10,0,0.00%,0.00%,0.00%
Liquids US Proj CA,0.00%,1,7,0,0.00%,0.00%,0.00%
Mexico Comm&BD Mgmt,0.00%,2,9,0,0.00%,0.00%,0.00%
MGO Mex City Fld Ops,0.00%,2,9,0,0.00%,0.00%,0.00%
MGO Toluca Reg Offic,0.00%,1,8,0,0.00%,0.00%,0.00%
Mid America Rgn Mgmt,0.00%,3,10,0,0.00%,0.00%,0.00%
Mkt Risk Ana&Rep,0.00%,3,9,0,0.00%,0.00%,0.00%
ML Planning East,0.00%,7,10,0,0.00%,0.00%,0.00%
MM Warehouse CA WP,0.00%,3,9,0,0.00%,0.00%,0.00%
MX NG Marketing,0.00%,4,10,0,0.00%,0.00%,0.00%
NGP Law Nat Gas CA,0.00%,2,10,0,0.00%,0.00%,0.00%
Op Gov & Services,0.00%,3,10,0,0.00%,0.00%,0.00%
Pennant NGL,0.00%,1,7,0,0.00%,0.00%,0.00%
Pennant Residue,0.00%,1,8,0,0.00%,0.00%,0.00%
PI Construction Serv,0.00%,2,8,0,0.00%,0.00%,0.00%
PI Tech Ctr Director,0.00%,5,10,0,0.00%,0.00%,0.00%
PNGTS Bus Ops,0.00%,4,8,0,0.00%,0.00%,0.00%
Proj Service Est US,0.00%,7,8,0,0.00%,0.00%,0.00%
Project Services,0.00%,2,9,0,0.00%,0.00%,0.00%
SC eComm Tech MDM US,0.00%,2,9,0,0.00%,0.00%,0.00%
SC Ops US,0.00%,3,9,0,0.00%,0.00%,0.00%
SCP Liquids Proj CA,0.00%,1,3,0,0.00%,0.00%,0.00%
SQ&C Management,0.00%,2,8,0,0.00%,0.00%,0.00%
Strategy & Corp Dev,0.00%,2,10,0,0.00%,0.00%,0.00%
Strategy Collab&Coor,0.00%,2,7,0,0.00%,0.00%,0.00%
Supply Chain KXL US,0.00%,2,9,0,0.00%,0.00%,0.00%
Supply Chain Mgmt,0.00%,2,9,0,0.00%,0.00%,0.00%
TC Pipe LP Pricing,0.00%,6,10,0,0.00%,0.00%,0.00%
Technical Services M,0.00%,1,9,0,0.00%,0.00%,0.00%
US Ctrpty Risk,0.00%,2,10,0,0.00%,0.00%,0.00%
US Gas Communication,0.00%,3,8,0,0.00%,0.00%,0.00%
US Liquids Marketing,0.00%,2,8,0,0.00%,0.00%,0.00%
US Prj Engineer 1.2,0.00%,1,8,0,0.00%,0.00%,0.00%
USLFO Reg MGT Ppl,0.00%,6,10,0,0.00%,0.00%,0.00%
USNG BU Optimization,0.00%,7,10,0,0.00%,0.00%,0.00%
USNG Construct East,0.00%,1,7,0,0.00%,0.00%,0.00%
USNG Pricing&Bus Ana,0.00%,5,8,0,0.00%,0.00%,0.00%
USNG Proj Engineerng,0.00%,1,7,0,0.00%,0.00%,0.00%
USNG Projects LXP,0.00%,1,7,0,0.00%,0.00%,0.00%
USNG Strategy,0.00%,3,10,0,0.00%,0.00%,0.00%
USNG XP Proj Clse CA,0.00%,1,8,0,0.00%,0.00%,0.00%
USSM Midstream Comm,0.00%,1,7,0,0.00%,0.00%,0.00%
USTS Construct East,0.00%,1,8,0,0.00%,0.00%,0.00%
USTS Op Analys&Rprt,0.00%,9,10,0,0.00%,0.00%,0.00%
USTS RTS& SCADA East,0.00%,27,10,0,0.00%,0.00%,0.00%
Work Mgmt CA,0.00%,4,10,0,0.00%,0.00%,0.00%
Work Mgmt US,0.00%,2,8,0,0.00%,0.00%,0.00%
